wall_time_s,time_boot_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,active_gate
1780773310.8943572,354206,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,-0.000338195008225739,-0.0003125630901195109,0.0005907058366574347,0.0007490026264006189,0.0002683948550838977,0.3106740415096283,-3.140505075454712,0
1780773310.9055493,354213,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00016848779341671616,0.00029013067251071334,3.990173354395665e-05,0.00033786993355693214,0.00028252298943698406,0.31069013476371765,-3.1404244899749756,0
1780773310.9152262,354219,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,-0.00030342853278853,-4.609525058185682e-05,0.0002633953117765486,0.00040443879252894305,0.00028252298943698406,0.31069013476371765,-3.1404244899749756,0
1780773310.926378,354239,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00016053207218647003,2.7937367121921852e-05,0.0001396179141011089,0.00021457913370160597,0.00028252298943698406,0.31069013476371765,-3.1404244899749756,0
1780773310.9374027,354246,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,9.904796752380207e-05,2.6828272893908434e-05,0.0001133298865170218,0.0001528853141247622,0.0002696370065677911,0.3106794059276581,-3.1404643058776855,0
1780773310.9479399,354260,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0001362156035611406,-0.0001097608546842821,0.0001527977001387626,0.00023226982809277042,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773310.95947,354260,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0001362156035611406,-0.0001097608546842821,0.0001527977001387626,0.00023226982809277042,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773310.9703898,354281,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773310.9799876,354288,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773310.9916868,354299,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0013828,354313,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0112407,354320,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0212154,354326,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0318818,354341,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0428498,354347,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0524888,354355,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.06357,354372,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0745268,354379,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0836427,354393,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
1780773311.0934994,354393,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.0002608712820801884,0.3106938302516937,-3.140519857406616,0
