frame_id,sim_time_ns,drone_x,drone_y,drone_z,roll,pitch,yaw
0,1781569509604488600,-28.234256744384766,-6.604482173919678,-6.208940505981445,-0.02773255482316017,-0.09483515471220016,-2.987476110458374
26,1781569510207580200,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
33,1781569510436054900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
39,1781569510640919200,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
46,1781569510872996600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
52,1781569511073023600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
58,1781569511275012700,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
65,1781569511504725700,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
71,1781569511708007500,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
78,1781569511939424000,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
84,1781569512141334100,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
91,1781569512373970700,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
98,1781569512607137900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
104,1781569512807223300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
110,1781569513008419000,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
117,1781569513240606000,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
123,1781569513440713200,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002625731285661459,0.3106938302516937,-3.1405162811279297
129,1781569513641002900,-0.00046874998952262104,6.83593752910383e-05,0.020600585266947746,0.0003330490435473621,0.3096258342266083,-3.1405301094055176
136,1781569513872794900,-0.07339843362569809,-0.0005566406180150807,-0.09687987715005875,5.765746027464047e-05,0.07573174685239792,-3.1404688358306885
142,1781569514074079100,-0.19722655415534973,-0.0011230468517169356,-0.37770017981529236,1.4805441423959564e-05,0.020765064284205437,-3.1404709815979004
148,1781569514274195900,-0.3352734446525574,-0.001708984375,-0.7015820145606995,0.0005628304206766188,0.019407985731959343,-3.1288340091705322
155,1781569514508397100,-0.4840624928474426,-0.0024218750186264515,-1.0201513767242432,0.0018136396538466215,0.059477921575307846,-3.113724708557129
161,1781569514709863000,-0.6637109518051147,-0.0032714842818677425,-1.334536075592041,0.004038529936224222,0.09926831722259521,-3.0889594554901123
168,1781569514939775800,-0.8784374594688416,-0.0036425781436264515,-1.6122264862060547,0.0071443975903093815,0.13541637361049652,-3.0659477710723877
174,1781569515140797300,-1.1472265720367432,-0.0029199218843132257,-1.8585546016693115,0.009927988983690739,0.16062378883361816,-3.05316424369812
180,1781569515341035900,-1.4354296922683716,-0.0011035156203433871,-2.044677734375,0.013751881197094917,0.18071091175079346,-3.0469682216644287
187,1781569515573859700,-1.8932031393051147,0.0022070312406867743,-2.2411718368530273,0.019949577748775482,0.19979512691497803,-3.0435643196105957
193,1781569515774395200,-2.3450779914855957,0.004179687239229679,-2.361992120742798,0.025174368172883987,0.21198056638240814,-3.0423619747161865
199,1781569515974680400,-2.873671770095825,0.0035058592911809683,-2.4460692405700684,0.03147780895233154,0.223561629652977,-3.0416688919067383
205,1781569516175548500,-3.42632794380188,-0.0013476562453433871,-2.489140510559082,0.037130873650312424,0.2339244931936264,-3.0413339138031006
212,1781569516407892800,-4.21484375,-0.01606445200741291,-2.496640682220459,0.04421822726726532,0.2460232824087143,-3.0410900115966797
218,1781569516608104300,-4.923046588897705,-0.037353515625,-2.464916944503784,0.05057521536946297,0.2545144557952881,-3.040982484817505
224,1781569516808554800,-5.666406154632568,-0.06831054389476776,-2.404614210128784,0.05896102264523506,0.24941609799861908,-3.0416884422302246
231,1781569517041712000,-6.752695083618164,-0.13148437440395355,-2.300590753555298,0.06160028278827667,0.21546946465969086,-3.0432286262512207
238,1781569517274644700,-7.817187309265137,-0.2152148336172104,-2.2003173828125,0.06043998524546623,0.18080030381679535,-3.043837785720825
244,1781569517475253600,-8.773633003234863,-0.30875974893569946,-2.114492177963257,0.05686620622873306,0.15863166749477386,-3.043675184249878
251,1781569517706834800,-9.877070426940918,-0.4367773234844208,-2.0267627239227295,0.04785056784749031,0.14163325726985931,-3.0432159900665283
257,1781569517908289700,-10.89925765991211,-0.5713964700698853,-1.9653563499450684,0.036684028804302216,0.12974333763122559,-3.0426785945892334
264,1781569518141849300,-12.023202896118164,-0.7323046922683716,-1.9209033250808716,0.025083178654313087,0.12203454226255417,-3.042227268218994
271,1781569518374714800,-13.188085556030273,-0.9077538847923279,-1.897011637687683,0.01482115313410759,0.1178816482424736,-3.041907548904419
278,1781569518607940700,-14.29117202758789,-1.077490210533142,-1.89208984375,0.006658770143985748,0.11613773554563522,-3.0417256355285645
285,1781569518841215000,-15.531561851501465,-1.2677831649780273,-1.9046533107757568,0.0010432279668748379,0.11503159254789352,-3.041673183441162
291,1781569519041556300,-16.513242721557617,-1.4152343273162842,-1.9524608850479126,-0.0012154665309935808,0.11094307154417038,-3.041686534881592
298,1781569519274684300,-17.7255859375,-1.5897655487060547,-2.099116086959839,-0.030185332521796227,0.1056198999285698,-3.0511653423309326
304,1781569519475235500,-18.76238250732422,-1.7240331172943115,-2.266054630279541,-0.040475260466337204,0.08153259009122849,-3.0552029609680176
