time_s,leg_idx,leg_name,phase,frac,target_x,target_y,target_z,target_yaw,pos_x,pos_y,pos_z,yaw,error_x,error_y,error_z,horiz_dist,yaw_err,desired_vx,desired_vy,desired_vz,actual_vx,actual_vy,actual_vz,cmd_roll_rate,cmd_pitch_rate,cmd_yaw_rate,cmd_thrust,settled
1780859047.636796,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.25804686546325684,0.000732421875,-0.4475390613079071,-3.1404173374176025,-13.7163405249252,-7.955159653400882,-1.0444189593195916,15.856309864114115,-0.6821411551366197,-0.7528500568872097,-0.011977115020779588,-1.5726547536477244,-0.7466202974319458,0.0012877685949206352,-1.5959142446517944,0.0069779595152551195,0.03323772059469454,1.0232117327049295,0.27818131422598197,0
1780859047.64744,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.25804686546325684,0.000732421875,-0.4475390613079071,-3.1404173374176025,-13.7163405249252,-7.955159653400882,-1.0444189593195916,15.856309864114115,-0.6821411551366197,-0.762605431080938,-0.025240344607587294,-1.5538420075624777,-0.7466202974319458,0.0012877685949206352,-1.5959142446517944,0.012829433501333325,0.028618253716325433,1.0232117327049295,0.27666788009174437,0
1780859047.65776,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.25804686546325684,0.000732421875,-0.4475390613079071,-3.1404173374176025,-13.7163405249252,-7.955159653400882,-1.0444189593195916,15.856309864114115,-0.6821411551366197,-0.7723608052746663,-0.038503574194395,-1.535029261477231,-0.7466202974319458,0.0012877685949206352,-1.5959142446517944,0.01788083882035344,0.022918962630322004,1.0232117327049295,0.2751462842655589,0
1780859047.6683638,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.27812498807907104,0.000771484337747097,-0.4913915991783142,3.1322832107543945,-13.696262402309387,-7.955198715863629,-1.0005664214491845,15.838964309631866,-0.6716563961290296,-0.7819869198784494,-0.05161823576010161,-1.5160465438200614,-0.7519351243972778,0.0012882159790024161,-1.6898356676101685,0.02260820489053693,0.018307907517029758,1.0074845941935444,0.26606945810213944,0
1780859047.678949,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.27812498807907104,0.000771484337747097,-0.4913915991783142,3.1228160858154297,-13.696262402309387,-7.955198715863629,-1.0005664214491845,15.838964309631866,-0.6621892711900648,-0.7916130344822324,-0.06473289732580823,-1.497063826162892,-0.7519351243972778,0.0012882159790024161,-1.6898356676101685,0.026894151790270698,0.014001967525095256,0.9932839067850971,0.2645100356475258,0
1780859047.689398,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.2833593785762787,0.0007812499534338713,-0.5034033060073853,3.1101653575897217,-13.691028011812179,-7.955208481479316,-0.9885547146201135,15.834443154213734,-0.6495385429643568,-0.801202929320362,-0.07780555749412438,-1.4780338636532773,-0.7533929944038391,0.0012833749642595649,-1.7295587062835693,0.03093031379492925,0.01116594541091941,0.9743078144465351,0.25975761766433936,0
1780859047.7001126,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.29749998450279236,0.0008105468587018549,-0.5368603467941284,3.0636508464813232,-13.676887405885665,-7.955237778384584,-0.9550976738333703,15.822233003716992,-0.6030240318559583,-0.8106911596626215,-0.09075969193146999,-1.458872342681512,-0.7565186619758606,0.0012216801987960935,-1.7988550662994385,0.034982360138137845,0.009507098756479152,0.9045360477839375,0.25260901014659104,0
1780859047.7106187,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.3027734160423279,0.0008203124743886292,-0.5493554472923279,3.043407678604126,-13.67161397434613,-7.955247544000271,-0.9426025733351708,15.817679733445697,-0.582780863978761,-0.8201410470962051,-0.10366908710396644,-1.4396617429050105,-0.757263720035553,0.0011824291432276368,-1.7996183633804321,0.03858735429046521,0.007285995142535053,0.8741712959681416,0.2509379012631196,0
1780859047.721271,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.3080468773841858,0.0008300780900754035,-0.5617822408676147,3.0225467681884766,-13.666340513004272,-7.955257309615957,-0.930175779759884,15.813126884951629,-0.5619199535631116,-0.8295522317634915,-0.11653334886074943,-1.4204019305328401,-0.7578384280204773,0.001135322148911655,-1.789434790611267,0.04205056874077455,0.0053405526944137575,0.8428799303446675,0.2501368721007177,0
1780859047.731859,0,oblique_-40,settling,0.0,-13.974387390388458,-7.954427231525882,-1.4919580206274987,2.460626814625365,-0.3278906047344208,0.0008691406110301614,-0.6071972250938416,2.967479705810547,-13.646496785654037,-7.955296372136912,-0.8847607955336572,15.795999964845551,-0.506852891185182,-0.8388205971666813,-0.1292317323364491,-1.400963606020243,-0.7591172456741333,0.000881283194757998,-1.6938384771347046,0.044413379583343696,0.0046958114233763,0.7602793367777729,0.2561684083202169,0
