sim_time_ns,drone_x,drone_y,drone_z,roll,pitch,yaw,detect_result,n_contours,largest_area,largest_aspect,largest_passed,n_candidates,best_area,best_aspect,best_hull_pts,best_poly_pts,four_corner_eps,n_clipped_corners
1781564268874620900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.00028071756241843104,0.3106953799724579,-3.14042592048645,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027048829360865057,0.3106939494609833,-3.1404459476470947,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027048829360865057,0.3106939494609833,-3.1404459476470947,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027048829360865057,0.3106939494609833,-3.1404459476470947,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027048829360865057,0.3106939494609833,-3.1404459476470947,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268874620900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,11,86.5,1.2727272727272727,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002807184646371752,0.3106953799724579,-3.1404261589050293,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002566834446042776,0.310695618391037,-3.140526056289673,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002566834446042776,0.310695618391037,-3.140526056289673,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002566834446042776,0.310695618391037,-3.140526056289673,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
1781564268909406300,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002566834446042776,0.310695618391037,-3.140526056289673,no_candidates,7,111.0,1.5909090909090908,False,0,,,,,,
