sim_time_ns,tvec_x,tvec_y,tvec_z,rvec_x,rvec_y,rvec_z,corner_tl_x,corner_tl_y,corner_tr_x,corner_tr_y,corner_br_x,corner_br_y,corner_bl_x,corner_bl_y,roll,pitch,yaw,est_x,est_y,est_z,drone_x,drone_y,drone_z,matched_gate_id,mav_x,mav_y,mav_z,error_x,error_y,error_z,error_mag,outlier_rejected
1782966344292279500,2.064236770887992,-2.810648784226655,11.209396016293645,-0.2975693280401666,-0.31433384600322767,0.049542269214345944,344.0,58.0,408.0,75.0,417.0,139.0,342.0,131.0,0.0,0.0,0.0,9.387564010512097,2.064236770887992,-7.239729044027855,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,0
1782966344292279500,2.064236770887992,-2.810648784226655,11.209396016293645,-0.2975693280401666,-0.31433384600322767,0.049542269214345944,344.0,58.0,408.0,75.0,417.0,139.0,342.0,131.0,0.0,0.0,0.0,9.387564010512097,2.064236770887992,-7.239729044027855,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,0
1782966344319501500,2.064236770887992,-2.810648784226655,11.209396016293645,-0.2975693280401666,-0.31433384600322767,0.049542269214345944,344.0,58.0,408.0,75.0,417.0,139.0,342.0,131.0,0.0,0.0,0.0,9.387564010512097,2.064236770887992,-7.239729044027855,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,0
1782966344319501500,2.064236770887992,-2.810648784226655,11.209396016293645,-0.2975693280401666,-0.31433384600322767,0.049542269214345944,344.0,58.0,408.0,75.0,417.0,139.0,342.0,131.0,0.0,0.0,0.0,9.387564010512097,2.064236770887992,-7.239729044027855,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,0
1782966344319501500,2.064236770887992,-2.810648784226655,11.209396016293645,-0.2975693280401666,-0.31433384600322767,0.049542269214345944,344.0,58.0,408.0,75.0,417.0,139.0,342.0,131.0,0.0,0.0,0.0,9.387564010512097,2.064236770887992,-7.239729044027855,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,0
1782966344319501500,2.064236770887992,-2.810648784226655,11.209396016293645,-0.2975693280401666,-0.31433384600322767,0.049542269214345944,344.0,58.0,408.0,75.0,417.0,139.0,342.0,131.0,0.0,0.0,0.0,9.387564010512097,2.064236770887992,-7.239729044027855,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,0
1782966344319501500,2.064236770887992,-2.810648784226655,11.209396016293645,-0.2975693280401666,-0.31433384600322767,0.049542269214345944,344.0,58.0,408.0,75.0,417.0,139.0,342.0,131.0,0.0,0.0,0.0,9.387564010512097,2.064236770887992,-7.239729044027855,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,0
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
1782966344360249000,0.06411788405971487,-0.33423158066707276,11.480391569392038,-0.18640063129857765,0.11290580642065517,0.02621619804070971,285.0,136.0,361.0,134.0,360.0,211.0,283.0,205.0,0.0,0.0,0.0,10.551159278884278,0.06411788405971487,-5.036974675672899,0.0,0.0,-0.5,-1,nan,nan,nan,nan,nan,nan,nan,1
