time_s,state,target_mode,waypoint_idx,path_idx,target_x,target_y,target_z,pos_x,pos_y,pos_z,error_x,error_y,error_z,horiz_dist,gate_dist,speed_cap,desired_vx,desired_vy,desired_vz,actual_vx,actual_vy,actual_vz,vel_error_fwd,vel_error_right,vel_error_z,cmd_roll_rate,cmd_pitch_rate,cmd_yaw_rate,cmd_thrust,z_integral,yaw,target_yaw,yaw_err,saturated
1780784973.508883,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,nan,nan,-0.5205468740314245,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.0,nan,nan,nan,-0.0005300191696733236,0.6,0.0,0.3580820311047137,0.0,-3.1404941082000732,nan,nan,0
1780784973.5195174,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,nan,nan,-0.5205468740314245,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.0,nan,nan,nan,-0.0005300191696733236,0.6,0.0,0.3580820311047137,0.0,-3.1404941082000732,nan,nan,0
1780784973.5300815,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,nan,nan,-0.5205468740314245,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.0,nan,nan,nan,-0.0005300191696733236,0.6,0.0,0.3580820311047137,0.0,-3.1404941082000732,nan,nan,0
1780784973.5405552,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.00046874998952262104,5.859374869032763e-05,0.02059081941843033,nan,nan,-0.5205908194184303,nan,nan,nan,nan,nan,nan,0.0004984420374967158,-0.00017805803508963436,0.001556799397803843,nan,nan,nan,-0.0007143445545807481,0.6,0.0,0.35808862291276455,0.0,-3.140576124191284,nan,nan,0
1780784973.551415,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.0007421874906867743,5.859374869032763e-05,0.019916992634534836,nan,nan,-0.5199169926345348,nan,nan,nan,nan,nan,nan,-0.02099514938890934,-0.00020498466619756073,-0.05872774124145508,nan,nan,nan,-0.0006441294099204242,0.6,0.0,0.35798754889518025,0.0,-3.1405436992645264,nan,nan,0
1780784973.5619714,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.0007421874906867743,5.859374869032763e-05,0.019916992634534836,nan,nan,-0.5199169926345348,nan,nan,nan,nan,nan,nan,-0.02099514938890934,-0.00020498466619756073,-0.05872774124145508,nan,nan,nan,-0.0006277169450186193,0.6,0.0,0.35798754889518025,0.0,-3.1405141353607178,nan,nan,0
1780784973.572378,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.0007421874906867743,5.859374869032763e-05,0.019916992634534836,nan,nan,-0.5199169926345348,nan,nan,nan,nan,nan,nan,-0.02099514938890934,-0.00020498466619756073,-0.05872774124145508,nan,nan,nan,-0.0006186303216964006,0.5899765491485596,0.0,0.35798754889518025,0.0,-3.140489101409912,nan,nan,0
1780784973.5828214,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.0016406249487772584,9.765624781721272e-06,0.017666015774011612,nan,nan,-0.5176660157740116,nan,nan,nan,nan,nan,nan,-0.06357605010271072,-0.006098853424191475,-0.1440996527671814,nan,nan,nan,-0.0005170836811885238,0.5519346594810486,0.0,0.3576499023661018,0.0,-3.140489101409912,nan,nan,0
1780784973.5935297,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.002968749962747097,-0.00012695312034338713,0.015239257365465164,nan,nan,-0.5152392573654652,nan,nan,nan,nan,nan,nan,-0.10616227984428406,-0.010180840268731117,-0.18310657143592834,nan,nan,nan,-0.0005291315610520542,0.49281784892082214,0.0,0.3572858886048198,0.0,-3.1404836177825928,nan,nan,0
1780784973.604087,TAKEOFF,,nan,nan,nan,nan,-0.5,-0.002968749962747097,-0.00012695312034338713,0.015239257365465164,nan,nan,-0.5152392573654652,nan,nan,nan,nan,nan,nan,-0.10616227984428406,-0.010180840268731117,-0.18310657143592834,nan,nan,nan,-0.0004831734113395214,0.46222659945487976,0.0,0.3572858886048198,0.0,-3.1404802799224854,nan,nan,0
