frame_id,sim_time_ns,drone_x,drone_y,drone_z,roll,pitch,yaw
0,1781564393997055900,-159.19398498535156,-4.591181755065918,24.839008331298828,0.01218466181308031,-0.0030856130179017782,2.6868650913238525
18,1781564394232379900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00026387255638837814,0.3106975257396698,-3.1404988765716553
24,1781564394432436500,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
30,1781564394633502900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
36,1781564394833927700,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
43,1781564395066970900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
50,1781564395299028200,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
57,1781564395533543900,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
64,1781564395766680700,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
70,1781564395966824600,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
77,1781564396199878400,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
83,1781564396399970600,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
89,1781564396600050400,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
96,1781564396832128000,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
102,1781564397033320400,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
108,1781564397233446700,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
115,1781564397467376000,-0.00046874998952262104,6.83593752910383e-05,0.020541992038488388,0.0002805418334901333,0.3106953799724579,-3.1404266357421875
