wall_time_s,time_boot_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,roll,pitch,yaw,active_gate
1780883054.3632476,305460,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0001366219948977232,-0.00013358177966438234,0.00015165805234573781,0.00024394635924612535,0.00026223264285363257,0.3106933534145355,-3.140516996383667,0
1780883054.3732128,305466,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,8.376045116165187e-06,-0.0003758256498258561,0.0001714420213829726,0.000413167573624425,0.0002725555968936533,0.31068798899650574,-3.140418767929077,0
1780883054.3830223,305474,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,-0.00020564823353197426,0.0003023736353497952,0.00027599811437539756,0.000458144049888512,0.00026347057428210974,0.3106938302516937,-3.140511989593506,0
1780883054.3957663,305494,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00013318851415533572,-0.00014196646225173026,0.00013840198516845703,0.00023884883547078018,0.00026347057428210974,0.3106938302516937,-3.140511989593506,0
1780883054.4052906,305500,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,-4.912521490041399e-06,-0.0003681668604258448,0.00015232086298055947,0.0003984628154324516,0.00026347057428210974,0.3106938302516937,-3.140511989593506,0
1780883054.4161685,305507,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,-0.0002088644541800022,0.00030440985574387014,0.00027124403277412057,0.000458108115852014,0.00027399396640248597,0.31068694591522217,-3.140414237976074,0
1780883054.4274282,305523,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.4400578,305536,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.4496822,305546,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.460295,305560,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.4716053,305567,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.4826095,305574,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.491644,305589,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.5022695,305596,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.5134597,305602,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.5243604,305622,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.533683,305628,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.5444243,305642,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.5556645,305653,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.5648916,305660,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.576263,305674,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.585378,305674,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.596659,305693,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6063688,305700,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6162205,305706,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6275811,305722,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6372178,305735,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6478913,305744,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6575582,305758,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6686413,305765,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6796038,305771,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.6906269,305787,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7000139,305793,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7113898,305807,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7210495,305819,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.73251,305826,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7420182,305840,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7528021,305840,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7625434,305860,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7733955,305868,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.7849014,305873,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.794533,305894,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.8060215,305901,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.8157766,305908,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.8268237,305919,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.8377953,305933,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.847574,305940,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
1780883054.85831,305957,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0,0.0,-0.0,0.0,0.00026455215993337333,0.31069350242614746,-3.140507698059082,0
