sim_time_ns,tvec_x,tvec_y,tvec_z,rvec_x,rvec_y,rvec_z,corner_tl_x,corner_tl_y,corner_tr_x,corner_tr_y,corner_br_x,corner_br_y,corner_bl_x,corner_bl_y,roll,pitch,yaw,est_x,est_y,est_z,drone_x,drone_y,drone_z,matched_gate_id,mav_x,mav_y,mav_z,error_x,error_y,error_z,error_mag
1781801496698349400,0.3672248966073378,5.76533832084177,20.94707497402643,-0.5346439580629729,0.062115421407122465,0.005144258152079898,305.6400146484375,249.063232421875,345.54901123046875,246.88720703125,347.37103271484375,291.3429260253906,304.130126953125,287.75677490234375,0.00015908623754512519,0.22547172009944916,-3.1403980255126953,-20.532995914543285,-0.3921979550808042,-7.108468224390966,-0.007187499664723873,-7.812499825377017e-05,0.011318359524011612,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,2.7649719962233164,0.007704388669195816,-5.616510203763466,6.260216958419496
1781801496698349400,0.3672248966073378,5.76533832084177,20.94707497402643,-0.5346439580629729,0.062115421407122465,0.005144258152079898,305.6400146484375,249.063232421875,345.54901123046875,246.88720703125,347.37103271484375,291.3429260253906,304.130126953125,287.75677490234375,0.00019065466767642647,0.1840514987707138,-3.1404027938842773,-20.816580363538705,-0.3925822575356615,-6.2603646059220255,-0.013554687611758709,-0.00015624999650754035,0.0033447265159338713,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,2.4813875472278966,0.007320086214338495,-4.768406585294526,5.375410598817552
1781801496831703900,0.5855363764405005,10.879783907264159,23.833903995873733,-0.7311105586414741,0.07822864717235677,0.018955651093611667,310.9568786621094,307.8085021972656,345.6722412109375,307.4391174316406,346.6411437988281,347.2457580566406,308.40618896484375,344.72662353515625,0.00010524257231736556,0.10857867449522018,-3.140413999557495,-26.2086466135246,-0.6166736029736221,-1.5591483692836623,-0.05269531160593033,-0.00044921872904524207,-0.05781249701976776,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-2.9106787027579983,-0.21677125922362206,-0.06719034865616358,2.919512773129605
1781801496831703900,0.5855363764405005,10.879783907264159,23.833903995873733,-0.7311105586414741,0.07822864717235677,0.018955651093611667,310.9568786621094,307.8085021972656,345.6722412109375,307.4391174316406,346.6411437988281,347.2457580566406,308.40618896484375,344.72662353515625,9.407637844560668e-05,0.09656249731779099,-3.1404149532318115,-26.228196525012144,-0.6167021957119045,-1.2509131127327036,-0.05609374865889549,-0.00046874998952262104,-0.06397461146116257,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-2.930228614245543,-0.21679985196190454,0.24104490789479516,2.9481086403279084
1781801496831703900,0.5855363764405005,10.879783907264159,23.833903995873733,-0.7311105586414741,0.07822864717235677,0.018955651093611667,310.9568786621094,307.8085021972656,345.6722412109375,307.4391174316406,346.6411437988281,347.2457580566406,308.40618896484375,344.72662353515625,8.661893662065268e-05,0.08868860453367233,-3.1404154300689697,-26.240207379036647,-0.6167293012737274,-1.0512022542560453,-0.0595703125,-0.00048828125,-0.0703759714961052,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-2.9422394682700457,-0.21682695752372738,0.4407557663714534,2.9829603858825693
1781801496998914600,0.6998091139580299,8.286318401380349,23.301524534645708,-0.5253487056542092,0.11787993150146607,0.01454966794745694,313.4702453613281,274.0382385253906,346.95440673828125,275.21099853515625,349.1289978027344,314.5875549316406,309.33172607421875,313.6038818359375,3.51386443071533e-05,0.033528562635183334,-3.140418529510498,-24.819410892514526,-0.7297257871925802,-1.9618330573949518,-0.14781250059604645,-0.0009179687476716936,-0.2603857219219208,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-1.5214429817479243,-0.3298234434425802,-0.4698750367674531,1.6261472260319947
1781801496998914600,0.6998091139580299,8.286318401380349,23.301524534645708,-0.5253487056542092,0.11787993150146607,0.01454966794745694,313.4702453613281,274.0382385253906,346.95440673828125,275.21099853515625,349.1289978027344,314.5875549316406,309.33172607421875,313.6038818359375,3.367627869010903e-05,0.031991004943847656,-3.1404190063476562,-24.830748107231855,-0.7297548441478625,-1.9446194460774553,-0.15656249225139618,-0.0009570312104187906,-0.28110837936401367,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-1.5327801964652537,-0.3298525003978625,-0.4526614254499566,1.6319069118013962
1781801496998914600,0.6998091139580299,8.286318401380349,23.301524534645708,-0.5253487056542092,0.11787993150146607,0.01454966794745694,313.4702453613281,274.0382385253906,346.95440673828125,275.21099853515625,349.1289978027344,314.5875549316406,309.33172607421875,313.6038818359375,3.224592364858836e-05,0.03048836998641491,-3.140418767929077,-24.846071260728742,-0.7298209729546222,-1.9382783396028038,-0.16941405832767487,-0.001015624962747097,-0.31184569001197815,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-1.5481033499621404,-0.3299186292046222,-0.4463203189753051,1.644588736186186
1781801497031494900,0.6975690639660319,9.03626596497799,24.519969681953956,-0.4720621608970169,-0.18583073982135534,0.06899901581829282,313.0814208984375,278.88092041015625,345.3438415527344,280.1499328613281,346.96319580078125,318.1803894042969,310.3893127441406,316.3674011230469,2.8442062102840282e-05,0.026518700644373894,-3.140418767929077,-26.27184388444805,-0.7292585228377028,-1.6397275079300986,-0.17386718094348907,-0.0010351561941206455,-0.3225634694099426,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-2.973875973681448,-0.32935617908770276,-0.14776948730259987,2.9957051959297836
1781801497031494900,0.6975690639660319,9.03626596497799,24.519969681953956,-0.4720621608970169,-0.18583073982135534,0.06899901581829282,313.0814208984375,278.88092041015625,345.3438415527344,280.1499328613281,346.96319580078125,318.1803894042969,310.3893127441406,316.3674011230469,2.6054762201965787e-05,0.02403712086379528,-3.1404190063476562,-26.279485423189865,-0.7292740824096999,-1.5857352662724296,-0.17832030355930328,-0.001054687425494194,-0.3333398401737213,0,-23.2979679107666,-0.39990234375,-1.4919580206274987,-2.981517512423263,-0.32937173865969993,-0.09377724564493084,3.00112088908712
